|albumArtLink|albumName|artistID|artistName|genreList|isBNM|isBNR|isReissue|labelList|publishDate|releaseYear|retrievalTime|reviewID|reviewLink|score|writer
0|http://cdn.pitchfork.com/albums/6352/homepage_large.46a30850.jpg|Dark Island|3382.0|Pram|['Pop/R&B', 'Experimental']|0.0|0.0|0.0|['Merge']|2003-05-20 00:00:00|2003|2016-06-11 21:24:02.383391|6446.0|http://pitchfork.com/reviews/albums/6446-dark-island/|5.7|Chris Dahlen
0|http://cdn3.pitchfork.com/albums/3873/homepage_large.22cd7327.jpg|Words|1973.0|Homunculus|[]|0.0|0.0|0.0|['Howling']|2003-05-19 00:00:00|2002|2016-06-11 21:24:02.857574|3913.0|http://pitchfork.com/reviews/albums/3913-words/|6.4|Joe Tangari
0|http://cdn.pitchfork.com/albums/7583/homepage_large.4b299d78.jpg|Shub Niggurath|4039.0|Shub Niggurath|['Metal']|0.0|0.0|0.0|['Musea', 'Gazul']|2003-05-19 00:00:00|2003|2016-06-11 21:24:03.396118|7706.0|http://pitchfork.com/reviews/albums/7706-shub-niggurath/|7.7|Dominique Leone
0|http://cdn.pitchfork.com/albums/7587/homepage_large.3b7611f2.jpg|Rock, Rot & Rule|4042.0|Scharpling and Wurster|[]|0.0|0.0|0.0|['Stereolaffs']|2003-05-19 00:00:00|2002|2016-06-11 21:24:04.028841|7710.0|http://pitchfork.com/reviews/albums/7710-rock-rot-rule/|7.7|William Bowers
0|http://cdn2.pitchfork.com/albums/960/homepage_large.883cc672.jpg|More Nipples|482.0|Peter Brötzmann|['Jazz', 'Experimental']|0.0|0.0|0.0|['Atavistic']|2003-05-19 00:00:00|2003|2016-06-11 21:24:04.660193|967.0|http://pitchfork.com/reviews/albums/967-more-nipples/|8.9|Scott Hreha
0|http://cdn.pitchfork.com/albums/2221/homepage_large.b99310b4.jpg|5 Songs EP|1043.0|The Decemberists|['Rock']|0.0|0.0|0.0|['Hush']|2003-05-19 00:00:00|2003|2016-06-11 21:24:05.257636|2240.0|http://pitchfork.com/reviews/albums/2240-5-songs-ep/|7.3|Matt LeMay
0|http://cdn4.pitchfork.com/albums/1674/homepage_large.53c98aed.jpg|Southernunderground|871.0|CunninLynguists|['Rap', 'Pop/R&B']|0.0|0.0|0.0|['Freshchest']|2003-05-18 00:00:00|2003|2016-06-11 21:24:05.769007|1689.0|http://pitchfork.com/reviews/albums/1689-southernunderground/|7.4|Matt Kallman
0|http://cdn3.pitchfork.com/albums/13515/homepage_large.067b35f1.jpg|Shine|2577.0|Daniel Lanois|['Rock']|0.0|0.0|0.0|['Anti-']|2003-05-18 00:00:00|2003|2016-06-11 21:24:06.328790|4950.0|http://pitchfork.com/reviews/albums/4950-shine/|5.6|Brandon Stosuy
0|http://cdn.pitchfork.com/albums/4217/homepage_large.a15f53dd.jpg|In Rape Fantasy and Terror Sex We Trust|2197.0|Joan of Arc|['Rock', 'Metal']|0.0|0.0|0.0|['Perishable']|2003-05-18 00:00:00|2003|2016-06-11 21:24:07.069962|4267.0|http://pitchfork.com/reviews/albums/4267-in-rape-fantasy-and-terror-sex-we-trust/|5.0|Julianne Shepherd
0|http://cdn4.pitchfork.com/albums/1379/homepage_large.fd12f349.jpg|Being Ridden|718.0|Cex|['Electronic']|0.0|0.0|0.0|['Temporary Residence']|2003-05-18 00:00:00|2003|2016-06-11 21:24:07.926745|1391.0|http://pitchfork.com/reviews/albums/1391-being-ridden/|7.1|Andrew Bryant
0|http://cdn2.pitchfork.com/albums/1396/homepage_large.72c34b1e.jpg|An Angel Moves Too Fast to See: Selected Works 1971-1989|730.0|Rhys Chatham|['Experimental']|0.0|0.0|0.0|['Table of the Elements']|2003-05-18 00:00:00|2003|2016-06-11 21:24:08.482758|1408.0|http://pitchfork.com/reviews/albums/1408-an-angel-moves-too-fast-to-see-selected-works-1971-1989/|9.1|Andy Beta
0|http://cdn2.pitchfork.com/albums/7794/homepage_large.495eff78.jpg|Songbook|4167.0|Nobukazu Takemura|['Electronic']|0.0|0.0|0.0|['Bubble Core']|2003-05-15 00:00:00|2003|2016-06-11 21:24:09.035090|7918.0|http://pitchfork.com/reviews/albums/7918-songbook/|5.6|Mark Richardson
0|http://cdn4.pitchfork.com/albums/6070/homepage_large.bbf80cc7.jpg|Single One EP|3247.0|Papa M|[]|0.0|0.0|0.0|['Drag City']|2003-05-15 00:00:00|2003|2016-06-11 21:24:11.120892|11799.0|http://pitchfork.com/reviews/albums/11799-single-one-ep-single-two-ep/|8.2|William Bowers
1|http://cdn4.pitchfork.com/albums/6071/homepage_large.bbf80cc7.jpg|Single Two EP|3247.0|Papa M|[]|0.0|0.0|0.0|['Drag City']|2003-05-15 00:00:00|2003|2016-06-11 21:24:11.120892|11799.0|http://pitchfork.com/reviews/albums/11799-single-one-ep-single-two-ep/|7.8|William Bowers
